City,State,Month of Period End,Median Sale Price,Median Sale Price MoM ,Median Sale Price YoY ,Homes Sold,Homes Sold MoM ,Homes Sold YoY ,New Listings,New Listings MoM ,New Listings YoY ,Inventory,Inventory MoM , Inventory YoY ,Days on Market,Days on Market MoM,Days on Market YoY,Average Sale To List,Average Sale To List MoM ,Average Sale To List YoY 
Dallas,Texas,Dec-14,$220K,6.00%,12.20%,"4,630",20.70%,11.80%,"3,193",-16.90%,12.60%,"9,823",-13.50%,-10.90%,39,1,-8,97.70%,-0.20%,0.60%
Dallas,Texas,Jan-15,$205K,-6.80%,12.90%,"3,002",-35.20%,-2.10%,"4,773",49.50%,-6.20%,"10,083",2.60%,-13.40%,41,2,-10,97.60%,-0.10%,0.30%
Dallas,Texas,Feb-15,$218K,6.30%,10.40%,"3,707",23.50%,0.50%,"4,978",4.30%,-4.60%,"10,051",-0.30%,-15.30%,35,-6,-7,98.10%,0.40%,0.40%
Dallas,Texas,Mar-15,$230K,5.40%,13.70%,"4,876",31.50%,5.20%,"6,139",23.30%,-3.10%,"10,220",1.70%,-15.50%,28,-7,-5,98.60%,0.60%,0.70%
Dallas,Texas,Apr-15,$235K,2.10%,14.40%,"5,202",6.70%,3.20%,"7,387",20.30%,6.70%,"11,172",9.30%,-10.50%,25,-3,-5,99.00%,0.40%,0.80%
Dallas,Texas,May-15,$245K,4.50%,14.00%,"5,807",11.60%,0.30%,"7,411",0.30%,-4.30%,"11,831",5.90%,-8.90%,23,-2,-6,99.40%,0.40%,1.10%
Dallas,Texas,Jun-15,$245K,0.00%,11.30%,"6,456",11.20%,3.90%,"7,590",2.40%,7.70%,"12,596",6.50%,-5.80%,22,-1,-4,99.40%,0.10%,0.90%
Dallas,Texas,Jul-15,$235K,-4.10%,6.80%,"6,543",1.30%,7.20%,"8,311",9.50%,17.00%,"13,749",9.20%,-2.60%,25,3,-1,99.20%,-0.30%,0.70%
Dallas,Texas,Aug-15,$233K,-0.90%,9.60%,"6,160",-5.90%,5.60%,"6,720",-19.10%,8.90%,"13,510",-1.70%,-3.30%,26,1,-3,98.90%,-0.20%,0.60%
Dallas,Texas,Sep-15,$225K,-3.40%,7.90%,"5,465",-11.30%,9.00%,"5,882",-12.50%,15.30%,"13,291",-1.60%,1.90%,30,4,-4,98.50%,-0.40%,0.40%
Dallas,Texas,Oct-15,$229K,1.60%,12.60%,"4,946",-9.50%,-0.10%,"5,625",-4.40%,8.90%,"12,770",-3.90%,2.90%,34,4,-4,98.30%,-0.20%,0.60%
Dallas,Texas,Nov-15,$230K,0.70%,10.80%,"3,993",-19.30%,4.10%,"4,484",-20.30%,16.60%,"11,782",-7.70%,3.80%,35,1,-3,98.10%,-0.30%,0.10%
Dallas,Texas,Dec-15,$238K,3.40%,8.10%,"5,294",32.60%,14.30%,"3,521",-21.50%,10.30%,"10,007",-15.10%,1.90%,40,5,1,98.20%,0.10%,0.50%
Dallas,Texas,Jan-16,$222K,-6.70%,8.30%,"3,413",-35.50%,13.70%,"5,524",56.90%,15.70%,"10,660",6.50%,5.70%,40,0,-1,98.20%,0.00%,0.60%
Dallas,Texas,Feb-16,$233K,5.00%,6.90%,"4,185",22.60%,12.90%,"6,069",9.90%,21.90%,"10,918",2.40%,8.60%,35,-5,0,98.60%,0.40%,0.50%
Dallas,Texas,Mar-16,$246K,5.60%,7.10%,"5,450",30.20%,11.80%,"7,221",19.00%,17.60%,"11,669",6.90%,14.20%,27,-8,-1,98.70%,0.10%,0.10%
Dallas,Texas,Apr-16,$250K,1.60%,6.60%,"5,565",2.10%,7.00%,"7,127",-1.30%,-3.50%,"12,209",4.60%,9.30%,25,-2,0,99.10%,0.40%,0.10%
Dallas,Texas,May-16,$265K,6.00%,8.20%,"6,116",9.90%,5.30%,"7,261",1.90%,-2.00%,"12,506",2.40%,5.70%,25,0,2,99.40%,0.30%,0.10%
Dallas,Texas,Jun-16,$269K,1.50%,9.80%,"6,397",4.60%,-0.90%,"7,772",7.00%,2.40%,"13,376",7.00%,6.20%,25,0,3,99.40%,0.00%,0.00%
Dallas,Texas,Jul-16,$257K,-4.50%,9.40%,"5,945",-7.10%,-9.10%,"7,478",-3.80%,-10.00%,"14,179",6.00%,3.10%,25,0,0,99.50%,0.10%,0.40%
Dallas,Texas,Aug-16,$256K,-0.40%,9.90%,"6,438",8.30%,4.50%,"6,701",-10.40%,-0.30%,"13,647",-3.80%,1.00%,27,2,1,99.00%,-0.50%,0.10%
Dallas,Texas,Sep-16,$250K,-2.30%,11.10%,"5,692",-11.60%,4.20%,"6,073",-9.40%,3.20%,"13,536",-0.80%,1.80%,30,3,0,98.80%,-0.30%,0.20%
Dallas,Texas,Oct-16,$253K,1.20%,10.70%,"4,977",-12.60%,0.60%,"5,602",-7.80%,-0.40%,"13,083",-3.30%,2.50%,33,3,-1,98.50%,-0.20%,0.20%
Dallas,Texas,Nov-16,$260K,2.80%,13.00%,"4,792",-3.70%,20.00%,"4,746",-15.30%,5.80%,"12,145",-7.20%,3.10%,34,1,-1,98.40%,-0.10%,0.30%
Dallas,Texas,Dec-16,$259K,-0.60%,8.70%,"5,104",6.50%,-3.60%,"3,549",-25.20%,0.80%,"10,428",-14.10%,4.20%,36,2,-4,98.30%,0.00%,0.10%
Dallas,Texas,Jan-17,$250K,-3.30%,12.60%,"3,536",-30.70%,3.60%,"5,579",57.20%,1.00%,"10,831",3.90%,1.60%,38,2,-2,98.20%,-0.20%,0.00%
Dallas,Texas,Feb-17,$266K,6.40%,14.20%,"4,136",17.00%,-1.20%,"6,060",8.60%,-0.10%,"11,367",4.90%,4.10%,35,-3,0,98.30%,0.20%,-0.20%
Dallas,Texas,Mar-17,$275K,3.40%,11.80%,"5,728",38.50%,5.10%,"8,161",34.70%,13.00%,"12,645",11.20%,8.40%,27,-8,0,98.90%,0.50%,0.10%
Dallas,Texas,Apr-17,$280K,1.80%,12.00%,"5,486",-4.20%,-1.40%,"7,305",-10.50%,2.50%,"13,207",4.40%,8.20%,24,-3,-1,99.30%,0.40%,0.10%
Dallas,Texas,May-17,$290K,3.60%,9.40%,"6,603",20.40%,8.00%,"8,434",15.50%,16.20%,"14,164",7.20%,13.30%,25,1,0,99.30%,0.00%,-0.20%
Dallas,Texas,Jun-17,$290K,0.00%,7.80%,"6,848",3.70%,7.10%,"8,624",2.30%,11.00%,"15,558",9.80%,16.30%,26,1,1,99.20%,0.00%,-0.20%
Dallas,Texas,Jul-17,$281K,-3.10%,9.30%,"6,209",-9.30%,4.40%,"7,800",-9.60%,4.30%,"16,045",3.10%,13.20%,27,1,2,99.10%,-0.10%,-0.40%
Dallas,Texas,Aug-17,$278K,-1.10%,8.60%,"6,603",6.30%,2.60%,"7,371",-5.50%,10.00%,"15,999",-0.30%,17.20%,30,3,3,98.80%,-0.30%,-0.20%
Dallas,Texas,Sep-17,$270K,-2.90%,8.00%,"5,459",-17.30%,-4.10%,"6,399",-13.20%,5.40%,"15,917",-0.50%,17.60%,34,4,4,98.50%,-0.30%,-0.20%
Dallas,Texas,Oct-17,$275K,1.90%,8.70%,"5,108",-6.40%,2.60%,"6,008",-6.10%,7.20%,"15,367",-3.50%,17.50%,38,4,5,98.20%,-0.40%,-0.40%
Dallas,Texas,Nov-17,$277K,0.60%,6.40%,"5,162",1.10%,7.70%,"5,020",-16.40%,5.80%,"14,075",-8.40%,15.90%,40,2,6,98.20%,0.10%,-0.20%
Dallas,Texas,Dec-17,$280K,1.20%,8.30%,"5,521",7.00%,8.20%,"3,766",-25.00%,6.10%,"11,782",-16.30%,13.00%,45,5,9,97.90%,-0.30%,-0.50%
Dallas,Texas,Jan-18,$264K,-5.90%,5.40%,"3,669",-33.50%,3.80%,"5,839",55.00%,4.70%,"12,167",3.30%,12.30%,46,1,8,97.90%,0.00%,-0.30%
Dallas,Texas,Feb-18,$280K,6.30%,5.30%,"4,343",18.40%,5.00%,"6,032",3.30%,-0.50%,"12,585",3.40%,10.70%,40,-6,5,98.30%,0.40%,-0.10%
Dallas,Texas,Mar-18,$289K,3.20%,5.10%,"5,687",30.90%,-0.70%,"7,967",32.10%,-2.40%,"13,953",10.90%,10.30%,31,-9,4,98.50%,0.20%,-0.40%
Dallas,Texas,Apr-18,$285K,-1.40%,1.80%,"5,678",-0.20%,3.50%,"8,477",6.40%,16.00%,"15,214",9.00%,15.20%,28,-3,4,98.80%,0.30%,-0.50%
Dallas,Texas,May-18,$295K,3.50%,1.70%,"6,702",18.00%,1.50%,"8,961",5.70%,6.20%,"16,659",9.50%,17.60%,28,0,3,98.80%,0.00%,-0.50%
Dallas,Texas,Jun-18,$300K,1.70%,3.40%,"6,775",1.10%,-1.10%,"9,042",0.90%,4.80%,"18,265",9.60%,17.40%,29,1,3,98.70%,-0.10%,-0.50%
Dallas,Texas,Jul-18,$295K,-1.70%,5.00%,"6,361",-6.10%,2.40%,"7,951",-12.10%,1.90%,"18,622",2.00%,16.10%,32,3,5,98.50%,-0.20%,-0.60%
Dallas,Texas,Aug-18,$289K,-2.10%,3.80%,"6,407",0.70%,-3.00%,"7,424",-6.60%,0.70%,"18,648",0.10%,16.60%,37,5,7,98.20%,-0.30%,-0.60%
Dallas,Texas,Sep-18,$280K,-3.00%,3.70%,"4,902",-23.50%,-10.20%,"6,193",-16.60%,-3.20%,"18,616",-0.20%,17.00%,40,3,6,98.20%,0.00%,-0.30%
Dallas,Texas,Oct-18,$275K,-1.80%,0.00%,"4,948",0.90%,-3.10%,"6,221",0.50%,3.50%,"18,333",-1.50%,19.30%,45,5,7,98.00%,-0.20%,-0.20%
Dallas,Texas,Nov-18,$281K,2.20%,1.50%,"4,573",-7.60%,-11.40%,"5,301",-14.80%,5.60%,"17,509",-4.50%,24.40%,49,4,9,97.80%,-0.20%,-0.40%
Dallas,Texas,Dec-18,$285K,1.40%,1.80%,"4,899",7.10%,-11.30%,"3,835",-27.70%,1.80%,"15,339",-12.40%,30.20%,55,6,10,97.60%,-0.20%,-0.30%
Dallas,Texas,Jan-19,$265K,-7.00%,0.60%,"3,243",-33.80%,-11.60%,"6,252",63.00%,7.10%,"16,061",4.70%,32.00%,54,-1,8,97.50%,-0.10%,-0.40%
Dallas,Texas,Feb-19,$277K,4.40%,-1.20%,"4,168",28.50%,-4.00%,"6,497",3.90%,7.70%,"16,720",4.10%,32.90%,56,2,16,97.60%,0.10%,-0.60%
Dallas,Texas,Mar-19,$290K,4.80%,0.30%,"5,518",32.40%,-3.00%,"8,252",27.00%,3.60%,"17,806",6.50%,27.60%,44,-12,13,97.90%,0.30%,-0.60%
Dallas,Texas,Apr-19,$294K,1.40%,3.20%,"6,057",9.80%,6.70%,"8,812",6.80%,4.00%,"18,903",6.20%,24.20%,39,-5,11,98.20%,0.30%,-0.60%
Dallas,Texas,May-19,$302K,2.70%,2.30%,"7,103",17.30%,6.00%,"9,089",3.10%,1.40%,"19,924",5.40%,19.60%,37,-2,9,98.20%,0.00%,-0.60%
Dallas,Texas,Jun-19,$305K,1.10%,1.70%,"6,365",-10.40%,-6.10%,"8,580",-5.60%,-5.10%,"20,883",4.80%,14.30%,38,1,9,98.20%,0.00%,-0.50%
Dallas,Texas,Jul-19,$300K,-1.60%,1.70%,"6,870",7.90%,8.00%,"8,069",-6.00%,1.50%,"20,716",-0.80%,11.20%,39,1,7,98.20%,0.00%,-0.40%
Dallas,Texas,Aug-19,$294K,-1.80%,2.00%,"6,642",-3.30%,3.70%,"7,393",-8.40%,-0.40%,"20,140",-2.80%,8.00%,42,3,5,98.10%,0.00%,-0.10%
Dallas,Texas,Sep-19,$288K,-2.20%,2.90%,"5,581",-16.00%,13.90%,"6,690",-9.50%,8.00%,"19,593",-2.70%,5.20%,49,7,9,97.90%,-0.20%,-0.30%
Dallas,Texas,Oct-19,$288K,0.00%,4.70%,"5,508",-1.30%,11.30%,"6,596",-1.40%,6.00%,"19,014",-3.00%,3.70%,50,1,5,97.70%,-0.10%,-0.20%
Dallas,Texas,Nov-19,$289K,0.30%,2.80%,"4,684",-15.00%,2.40%,"5,197",-21.20%,-2.00%,"17,498",-8.00%,-0.10%,52,2,3,97.80%,0.00%,0.00%
Dallas,Texas,Dec-19,$296K,2.40%,3.90%,"5,880",25.50%,20.00%,"3,983",-23.40%,3.90%,"14,899",-14.90%,-2.90%,58,6,3,97.60%,-0.10%,0.00%
Dallas,Texas,Jan-20,$282K,-4.70%,6.40%,"3,991",-32.10%,23.10%,"6,553",64.50%,4.80%,"15,249",2.30%,-5.10%,60,2,6,97.60%,0.00%,0.10%
Dallas,Texas,Feb-20,$287K,1.80%,3.70%,"4,810",20.50%,15.40%,"6,958",6.20%,7.10%,"15,762",3.40%,-5.70%,60,0,4,97.80%,0.20%,0.20%
Dallas,Texas,Mar-20,$300K,4.50%,3.40%,"5,811",20.80%,5.30%,"7,467",7.30%,-9.50%,"15,702",-0.40%,-11.80%,41,-19,-3,98.20%,0.40%,0.30%
Dallas,Texas,Apr-20,$300K,0.00%,2.00%,"4,905",-15.60%,-19.00%,"6,201",-17.00%,-29.60%,"16,042",2.20%,-15.10%,37,-4,-2,98.30%,0.10%,0.10%
Dallas,Texas,May-20,$300K,0.00%,-0.60%,"5,126",4.50%,-27.80%,"8,309",34.00%,-8.60%,"16,520",3.00%,-17.10%,41,4,4,98.10%,-0.10%,-0.10%
Dallas,Texas,Jun-20,$312K,4.00%,2.30%,"7,359",43.60%,15.60%,"8,133",-2.10%,-5.20%,"15,486",-6.30%,-25.80%,38,-3,0,98.40%,0.20%,0.20%
Dallas,Texas,Jul-20,$320K,2.60%,6.70%,"8,526",15.90%,24.10%,"8,298",2.00%,2.80%,"14,682",-5.20%,-29.10%,36,-2,-3,98.50%,0.20%,0.40%
Dallas,Texas,Aug-20,$322K,0.60%,9.30%,"7,395",-13.30%,11.30%,"7,347",-11.50%,-0.60%,"13,471",-8.20%,-33.10%,33,-3,-9,98.70%,0.20%,0.60%
Dallas,Texas,Sep-20,$320K,-0.60%,11.10%,"7,021",-5.10%,25.80%,"6,805",-7.40%,1.70%,"12,604",-6.40%,-35.70%,32,-1,-17,98.80%,0.10%,0.90%
Dallas,Texas,Oct-20,$323K,0.90%,12.20%,"6,877",-2.10%,24.90%,"6,707",-1.40%,1.70%,"11,743",-6.80%,-38.20%,31,-1,-19,98.90%,0.00%,1.10%
Dallas,Texas,Nov-20,$322K,-0.30%,11.40%,"5,848",-15.00%,24.90%,"5,007",-25.30%,-3.70%,"10,095",-14.00%,-42.30%,29,-2,-23,98.90%,0.10%,1.20%
Dallas,Texas,Dec-20,$320K,-0.60%,8.10%,"6,656",13.80%,13.20%,"4,376",-12.60%,9.90%,"8,140",-19.40%,-45.40%,31,2,-27,98.90%,0.00%,1.30%
Dallas,Texas,Jan-21,$315K,-1.60%,11.70%,"4,315",-35.20%,8.10%,"5,693",30.10%,-13.10%,"7,885",-3.10%,-48.30%,34,3,-26,99.00%,0.10%,1.40%
Dallas,Texas,Feb-21,$331K,4.90%,15.20%,"4,461",3.40%,-7.30%,"4,622",-18.80%,-33.60%,"6,899",-12.50%,-56.20%,27,-7,-33,99.90%,0.80%,2.00%
Dallas,Texas,Mar-21,$344K,4.10%,14.70%,"6,029",35.10%,3.80%,"7,102",53.70%,-4.90%,"6,969",1.00%,-55.60%,24,-3,-17,100.60%,0.80%,2.50%
Dallas,Texas,Apr-21,$360K,4.70%,20.00%,"6,435",6.70%,31.20%,"7,813",10.00%,26.00%,"7,450",6.90%,-53.60%,18,-6,-19,102.20%,1.60%,4.00%
Dallas,Texas,May-21,$375K,4.20%,25.00%,"6,747",4.80%,31.60%,"7,723",-1.20%,-7.10%,"7,712",3.50%,-53.30%,17,-1,-24,103.20%,1.00%,5.10%
Dallas,Texas,Jun-21,$380K,1.30%,21.80%,"7,329",8.60%,-0.40%,"8,284",7.30%,1.90%,"8,362",8.40%,-46.00%,17,0,-21,103.70%,0.50%,5.40%
Dallas,Texas,Jul-21,$380K,0.00%,18.80%,"6,978",-4.80%,-18.20%,"8,825",6.50%,6.40%,"9,666",15.60%,-34.20%,18,1,-18,103.40%,-0.30%,4.90%
Dallas,Texas,Aug-21,$378K,-0.70%,17.20%,"6,924",-0.80%,-6.40%,"7,403",-16.10%,0.80%,"9,332",-3.50%,-30.70%,18,0,-15,102.50%,-0.90%,3.80%
Dallas,Texas,Sep-21,$375K,-0.70%,17.20%,"6,639",-4.10%,-5.40%,"6,777",-8.50%,-0.40%,"8,980",-3.80%,-28.80%,21,3,-11,101.50%,-1.00%,2.70%
Dallas,Texas,Oct-21,$378K,0.80%,17.00%,"6,201",-6.60%,-9.80%,"6,136",-9.50%,-8.50%,"8,173",-9.00%,-30.40%,22,1,-9,101.30%,-0.20%,2.50%
Dallas,Texas,Nov-21,$379K,0.10%,17.50%,"5,844",-5.80%,-0.10%,"5,170",-15.70%,3.30%,"6,905",-15.50%,-31.60%,21,-1,-8,101.50%,0.20%,2.60%
Dallas,Texas,Dec-21,$382K,0.80%,19.20%,"6,282",7.50%,-5.60%,"4,133",-20.10%,-5.60%,"5,514",-20.10%,-32.30%,21,0,-10,101.40%,-0.10%,2.50%
Dallas,Texas,Jan-22,$380K,-0.40%,20.60%,"4,205",-33.10%,-2.50%,"4,779",15.60%,-16.10%,"5,075",-8.00%,-35.60%,22,1,-12,101.80%,0.40%,2.80%
Dallas,Texas,Feb-22,$399K,5.00%,20.70%,"4,494",6.90%,0.70%,"4,900",2.50%,6.00%,"5,002",-1.40%,-27.50%,18,-4,-9,103.30%,1.50%,3.40%
Dallas,Texas,Mar-22,$420K,5.30%,22.10%,"5,782",28.70%,-4.10%,"6,998",42.80%,-1.50%,"5,850",17.00%,-16.10%,16,-2,-8,105.00%,1.70%,4.30%
Dallas,Texas,Apr-22,$445K,6.00%,23.60%,"5,799",0.30%,-9.90%,"7,789",11.30%,-0.30%,"7,186",22.80%,-3.50%,14,-2,-4,106.10%,1.10%,3.90%
Dallas,Texas,May-22,$463K,4.00%,23.50%,"6,438",11.00%,-4.60%,"9,010",15.70%,16.70%,"9,232",28.50%,19.70%,14,0,-3,105.70%,-0.40%,2.50%
Dallas,Texas,Jun-22,$455K,-1.60%,19.90%,"6,504",1.00%,-11.30%,"10,025",11.30%,21.00%,"12,496",35.40%,49.40%,16,2,-1,103.70%,-2.00%,0.00%
Dallas,Texas,Jul-22,$435K,-4.50%,14.50%,"5,732",-11.90%,-17.90%,"8,470",-15.50%,-4.00%,"14,145",13.20%,46.30%,19,3,1,101.50%,-2.20%,-1.90%
Dallas,Texas,Aug-22,$430K,-1.10%,13.90%,"6,128",6.90%,-11.50%,"6,879",-18.80%,-7.10%,"13,765",-2.70%,47.50%,25,6,7,99.70%,-1.80%,-2.70%
Dallas,Texas,Sep-22,$420K,-2.30%,12.00%,"5,450",-11.10%,-17.90%,"6,459",-6.10%,-4.70%,"13,887",0.90%,54.60%,32,7,11,98.70%,-1.00%,-2.80%
Dallas,Texas,Oct-22,$420K,0.00%,11.10%,"4,573",-16.10%,-26.30%,"5,564",-13.90%,-9.30%,"13,714",-1.20%,67.80%,33,1,11,98.50%,-0.20%,-2.80%
Dallas,Texas,Nov-22,$410K,-2.40%,8.30%,"4,064",-11.10%,-30.50%,"4,439",-20.20%,-14.10%,"12,697",-7.40%,83.90%,37,4,16,97.90%,-0.60%,-3.60%
Dallas,Texas,Dec-22,$402K,-2.00%,5.40%,"4,324",6.40%,-31.20%,"3,162",-28.80%,-23.50%,"10,137",-20.20%,83.80%,45,8,24,97.50%,-0.40%,-3.90%
